kdrama_name,original_networks
100 Days My Prince,tvN
12 Signs of Love,tvN
12 Years Promise,jTBC
18 Again,jTBC
1st Republic,NA
365: Repeat the Year,MBC
4 Legendary Witches,MBC
5th Republic,MBC
7th Grade Civil Servant,MBC
A Beautiful Mind,KBS
A Bird That Doesn't Sing,tvN
A Daughter Just Like You,MBC
A Gentleman's Dignity,SBS
A Girl Who Sees Smells,SBS
A Good Day to Be a Dog,MBC
A Happy  Woman,KBS
A Hundred Year Legacy,MBC
A Korean Odyssey,Netflix
A Korean Odyssey, tvN
A Little Love Never Hurts,MBC
A Love So Beautiful,Daum Kakao TV
A Love So Beautiful, Netflix
A Model Family,Netflix
A New Leaf,MBC
A Piece of Your Mind,tvN
A Place in the Sun,KBS
A Pledge to God,MBC
A Poem a Day,tvN
A Shoulder to Cry On,NA
A Superior Day,OCN
A Tale of Two Sisters,KBS
A Thousand Days' Promise,SBS
A Thousand Kisses,MBC
A Time Called You,Netflix
A Witch's Love,tvN
A-Teen,Naver TV Cast
A-Teen, vLive
A-Teen 2,Naver TV Cast
A-Teen 2, vLive
About Time,tvN
Abyss,Netflix
Abyss, tvN
Ad Genius Lee Tae-baek,KBS
Adamas,tvN
Adult Trainee,TVING
"Aeja's Older Sister, Minja",SBS
Aftermath,Naver TV Cast
Again My Life,SBS
Again My Life, ViuTV
Age of Warriors,KBS
Agency,jTBC
Air City,MBC
Alchemy of Souls,Netflix
Alchemy of Souls, tvN
Alice,SBS
All About Eve,SBS
All About My Mom,KBS
All About My Romance,SBS
All In,SBS
All My Love For You,MBC
All of Us Are Dead,Netflix
All That We Loved,TVING
Alone in Love,SBS
Amanza,Daum Kakao TV
Amor Fati,SBS
Andante,KBS
Ang Shim Jung,EChannel
Angel Eyes,SBS
Angel's Choice,MBC
Angel's Last Mission: Love,KBS
Angel's Revenge,KBS
Angry Mom,MBC
Anna,NA
Another Miss Oh,tvN
Another Peaceful Day of Second-Hand Items,Naver TV Cast
Apgujeong Midnight Sun,MBC
April Kiss,KBS
Arang and the Magistrate,MBC
Are You Human?,KBS
Argon,tvN
Arthdal Chronicles,Netflix
Arthdal Chronicles, tvN
Artificial City,jTBC
Ask the Stars,tvN
Asphalt Man,SBS
Assembly,KBS
At Eighteen,jTBC
At Eighteen, Viki
"At a Distance, Spring Is Green",iQiyi
"At a Distance, Spring Is Green", KBS
"At a Distance, Spring Is Green", Viki
Autumn Shower,MBC
Avengers Social Club,tvN
Awaken,tvN
Babel,TV Chosun
Babel, Viki
Baby Faced Beauty,KBS
Babysitter,KBS
Bachelor's Vegetable Store,Channel A
Backstreet Rookie,iQiyi
Backstreet Rookie, SBS
Bad and Crazy,iQiyi
Bad and Crazy, tvN
Bad Guy,OCN
Bad Guys,OCN
Bad Guys 2,OCN
Bad Housewife,SBS
Bad Papa,MBC
Bad Prosecutor,KBS
"Bad Thief, Good Thief",MBC
"Bad Woman, Good Woman",MBC
Ballad of Seodong,SBS
Band of Sisters,SBS
Banjun Drama,SBS
Basketball,tvN
Battle for Happiness,Amazon Prime
Battle for Happiness, ENA
Battle for Happiness, TVING
Be Melodramatic,jTBC
Be Melodramatic, Viki
Be My Dream Family,KBS
Be Positive,Naver TV Cast
"Be Strong, Geum-soon!",MBC
Beating Again,jTBC
Beating Heart,MBC
Beautiful Days,KBS
Beautiful Gong Shim,SBS
"Beautiful Love, Wonderful Life",KBS
Beautiful World,jTBC
Beautiful World, Viki
Because This Is My First Life,tvN
Because This Is My First Twenty,tvN
Becky's Back,KBS
Becoming Witch,TV Chosun
Behind Every Star,Netflix
Behind Every Star, tvN
Behind the White Tower,MBC
Behind Your Touch,jTBC
Behind Your Touch, Netflix
Behind Your Touch, TVING
Bel Ami,KBS
Best Chicken,DramaX
Best Chicken, MBN
Best Chicken, Viki
Beyond Evil,jTBC
Beyond the Clouds,KBS
Big,KBS
Big Bet,Disney
Big Bet, Hulu
Big Issue,SBS
Big Man,KBS
Big Mouth,Hulu
Big Mouth, MBC
Big Thing,Hulu
Big Thing, MBC
"Billie Jean, Look at Me",MBC
Birdie Buddy,tvN
Birth of a Beauty,SBS
Birthcare Center,tvN
Bitter Sweet Life,Naver TV Cast
Bizarre Bunch,KBS
Black,OCN
Black Dog: Being A Teacher,tvN
Black Knight,Netflix
Black Knight: The Man Who Guards Me,KBS
Blade Man,KBS
Blessing of the Sea,MBC
Blind,OCN
Blind, tvN
Blood,KBS
Blooded Palace: The War of Flowers,jTBC
Bloodhounds,Netflix
Bloody Heart,KBS
Bloody Romance,jTBC
Blossom Sisters,MBC
